Company,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
dotnet,5.62,12.29,10.44,15.94,11.6,4.65,10.45,4.61,6.13,6.0,6.89,9.6,5.88,4.29,2.0
ansible,7.09,9.83,7.05,11.99,11.23,8.79,5.22,14.69,7.82,5.14,6.55,7.25,5.45,3.01,2.34
bitcoin,35.84,33.03,25.22,31.72,30.91,29.89,35.62,29.37,22.08,20.94,21.28,16.74,9.32,4.68,2.79
openhab,19.05,18.94,11.31,6.23,8.39,12.64,7.87,13.56,8.39,8.74,7.28,7.21,8.29,6.13,2.0
renovatebot,7.43,8.38,10.81,9.55,5.89,9.08,9.53,5.55,7.8,4.23,4.28,3.57,2.7,2.3,1.0
PowerShell,25.77,12.24,17.13,8.72,4.91,12.3,5.26,3.82,4.34,3.67,9.71,14.08,9.88,4.32,2.09
Skyrat-SS13,2.26,1.94,2.68,1.32,2.52,1.89,2.69,2.51,3.66,3.38,3.78,6.54,4.14,6.81,2.11
vitejs,41.19,42.31,14.28,22.29,8.6,13.17,13.23,14.49,13.59,8.47,8.76,7.49,9.12,4.44,1.19
aws-amplify,14.75,20.75,19.22,6.52,12.39,9.45,13.31,19.72,21.91,5.73,6.16,9.02,5.46,2.53,1.5
element-plus,7.95,7.0,8.77,10.48,12.07,11.86,13.22,6.61,10.41,13.39,6.15,11.2,19.85,5.1,1.65
opencv,18.46,31.23,26.64,19.41,24.91,26.76,17.22,19.45,13.29,11.07,9.82,9.75,10.11,12.85,3.6
